0|T,MC
0|T,MI_IDX
0|MC,MI_IDX
0|T,MC,MI_IDX
1|T,MC
1|T,MI_IDX
1|MC,MI_IDX
1|T,MC,MI_IDX
2|T,MC
2|T,MI_IDX
2|MC,MI_IDX
2|T,MC,MI_IDX
3|T,MC
3|T,MI_IDX
3|MC,MI_IDX
3|T,MC,MI_IDX
4|T,MC
4|T,MI_IDX
4|MC,MI_IDX
4|T,MC,MI_IDX
5|T,MC
5|T,MI_IDX
5|MC,MI_IDX
5|T,MC,MI_IDX
6|T,MC
6|T,MI_IDX
6|MC,MI_IDX
6|T,MC,MI_IDX
7|T,MC
7|T,MI_IDX
7|MC,MI_IDX
7|T,MC,MI_IDX
8|T,MC
8|T,MI_IDX
8|MC,MI_IDX
8|T,MC,MI_IDX
9|T,MC
9|T,MI_IDX
9|MC,MI_IDX
9|T,MC,MI_IDX
10|T,MC
10|T,MI_IDX
10|MC,MI_IDX
10|T,MC,MI_IDX
11|T,MC
11|T,MI_IDX
11|MC,MI_IDX
11|T,MC,MI_IDX
12|T,MC
12|T,MI_IDX
12|MC,MI_IDX
12|T,MC,MI_IDX
13|T,MC
13|T,MI_IDX
13|MC,MI_IDX
13|T,MC,MI_IDX
14|T,MC
14|T,MI_IDX
14|MC,MI_IDX
14|T,MC,MI_IDX
15|T,MC
15|T,MI_IDX
15|MC,MI_IDX
15|T,MC,MI_IDX
16|T,MC
16|T,MI_IDX
16|MC,MI_IDX
16|T,MC,MI_IDX
17|T,MC
17|T,MI_IDX
17|MC,MI_IDX
17|T,MC,MI_IDX
18|T,MC
18|T,MI_IDX
18|MC,MI_IDX
18|T,MC,MI_IDX
19|T,MC
19|T,MI_IDX
19|MC,MI_IDX
19|T,MC,MI_IDX
20|T,MC
20|T,MI_IDX
20|MC,MI_IDX
20|T,MC,MI_IDX
21|T,MC
21|T,MI_IDX
21|MC,MI_IDX
21|T,MC,MI_IDX
22|T,MC
22|T,MI_IDX
22|MC,MI_IDX
22|T,MC,MI_IDX
23|T,MC
23|T,MI_IDX
23|MC,MI_IDX
23|T,MC,MI_IDX
24|T,MC
24|T,MI_IDX
